YEAR,MO,DY,HR,TEMP,PRCP,HMDT,WND_SPD,ATM_PRESS,REF
2021,4,1,0,1.01,0.02,64.8,8.48,100.55,202104
2021,4,1,1,0.56,0.05,65.69,8.71,100.58,202104
2021,4,1,2,0.07,0.04,66.78,8.84,100.62,202104
2021,4,1,3,-0.64,0.05,68.31,8.82,100.68,202104
2021,4,1,4,-1.39,0.05,69.78,8.81,100.76,202104
2021,4,1,5,-1.83,0.04,69.98,8.88,100.83,202104
2021,4,1,6,-1.8,0.07,68.94,9.37,100.92,202104
2021,4,1,7,-1.6,0.2,68.46,9.63,101.0,202104
2021,4,1,8,-1.44,0.28,68.51,9.55,101.08,202104
2021,4,1,9,-0.9,0.15,66.97,9.22,101.13,202104
2021,4,1,10,-0.15,0.09,64.03,8.91,101.15,202104
2021,4,1,11,0.37,0.04,62.34,8.76,101.17,202104
2021,4,1,12,0.72,0.01,61.78,8.46,101.15,202104
2021,4,1,13,0.96,0.0,61.69,8.03,101.13,202104
2021,4,1,14,1.09,0.0,61.84,7.5,101.11,202104
2021,4,1,15,1.03,0.0,62.11,7.02,101.11,202104
2021,4,1,16,0.82,0.0,62.83,6.47,101.14,202104
2021,4,1,17,0.38,0.0,65.13,5.52,101.16,202104
2021,4,1,18,-0.55,0.0,70.62,4.62,101.16,202104
2021,4,1,19,-0.71,0.0,69.6,4.21,101.18,202104
2021,4,1,20,-0.72,0.0,67.69,3.64,101.18,202104
2021,4,1,21,-0.5,0.0,65.07,3.13,101.15,202104
2021,4,1,22,-0.23,0.0,62.28,2.74,101.15,202104
2021,4,1,23,0.04,0.0,59.61,2.27,101.15,202104
2021,4,2,0,0.22,0.0,57.27,1.73,101.16,202104
2021,4,2,1,0.33,0.0,55.52,1.16,101.16,202104
2021,4,2,2,0.35,0.0,54.42,0.85,101.18,202104
2021,4,2,3,0.26,0.0,55.3,1.03,101.19,202104
2021,4,2,4,0.25,0.0,56.14,1.28,101.22,202104
2021,4,2,5,0.22,0.0,57.32,1.52,101.24,202104
2021,4,2,6,0.87,0.0,60.44,2.08,101.27,202104
2021,4,2,7,1.73,0.0,56.12,3.13,101.29,202104
2021,4,2,8,2.58,0.0,53.71,3.75,101.31,202104
2021,4,2,9,3.6,0.0,48.53,3.99,101.32,202104
2021,4,2,10,4.41,0.0,45.05,4.16,101.27,202104
2021,4,2,11,5.17,0.0,44.33,4.06,101.17,202104
2021,4,2,12,5.84,0.0,46.99,3.66,101.06,202104
2021,4,2,13,6.38,0.0,49.41,3.55,100.91,202104
2021,4,2,14,6.79,0.0,49.45,3.74,100.78,202104
2021,4,2,15,7.06,0.0,49.29,4.11,100.68,202104
2021,4,2,16,7.05,0.0,50.25,4.51,100.61,202104
2021,4,2,17,6.19,0.0,57.36,4.43,100.54,202104
2021,4,2,18,5.12,0.0,61.57,5.33,100.5,202104
