Pm2.5,Pm10,No2,So2,Co,Aqi,Date,City
117.85,67.67,90.14,47.0,5.33,67,2012-01-01,New York
147.09,240.39,65.81,19.46,3.68,135,2012-01-02,New York
59.64,139.76,12.94,46.11,7.28,212,2012-01-03,New York
185.44,151.23,53.61,18.49,0.33,481,2012-01-04,New York
100.91,243.43,37.83,22.87,2.8,149,2012-01-05,New York
26.91,221.42,79.66,16.56,9.49,8,2012-01-06,New York
118.56,92.28,20.79,37.61,7.58,281,2012-01-07,New York
113.03,158.81,94.12,38.58,4.12,221,2012-01-08,New York
115.75,147.13,40.53,49.54,7.43,291,2012-01-09,New York
85.1,100.79,7.3,25.27,4.33,2,2012-01-10,New York
37.91,298.19,33.07,35.07,1.39,231,2012-01-11,New York
56.82,268.37,77.42,22.54,2.9,263,2012-01-12,New York
180.68,201.51,86.63,28.95,7.0,129,2012-01-13,New York
107.01,173.77,15.16,40.3,7.14,389,2012-01-14,New York
199.83,226.26,62.01,38.24,2.8,264,2012-01-15,New York
153.55,129.29,56.37,32.37,2.55,174,2012-01-16,New York
57.27,88.93,22.5,45.42,7.75,181,2012-01-17,New York
157.08,132.56,49.36,4.95,0.88,38,2012-01-18,New York
170.73,252.36,85.23,4.94,8.21,137,2012-01-19,New York
151.22,272.3,75.03,30.78,5.67,453,2012-01-20,New York
113.0,25.93,50.37,21.12,3.37,368,2012-01-21,New York
54.05,118.13,90.26,29.4,7.25,37,2012-01-22,New York
140.15,187.25,54.31,22.44,3.23,266,2012-01-23,New York
180.27,240.34,84.08,7.41,6.16,182,2012-01-24,New York
31.55,200.6,13.55,38.05,9.23,428,2012-01-25,New York
58.61,292.0,91.83,11.51,2.98,28,2012-01-26,New York
40.6,236.93,37.34,9.28,4.94,77,2012-01-27,New York
83.15,25.65,44.03,24.5,9.15,307,2012-01-28,New York
60.17,33.73,35.56,25.64,6.42,113,2012-01-29,New York
182.66,205.32,27.96,5.45,6.26,320,2012-01-30,New York
35.57,60.99,72.61,48.86,6.3,397,2012-01-31,New York
117.33,137.76,71.9,38.92,5.0,316,2012-02-01,New York
91.14,130.3,83.59,41.85,8.93,386,2012-02-02,New York
23.37,121.26,89.42,46.29,5.33,384,2012-02-03,New York
84.15,291.73,38.58,3.74,9.02,169,2012-02-04,New York
171.38,292.17,51.74,17.59,6.09,178,2012-02-05,New York
128.1,210.46,59.88,38.86,7.79,229,2012-02-06,New York
106.62,235.2,92.49,23.61,3.35,190,2012-02-07,New York
60.53,147.77,17.62,48.34,8.96,9,2012-02-08,New York
178.16,133.94,24.97,24.95,7.4,83,2012-02-09,New York
80.1,230.71,38.12,10.78,4.55,385,2012-02-10,New York
153.03,257.16,54.15,18.0,5.3,322,2012-02-11,New York
199.99,241.77,42.98,34.29,9.36,310,2012-02-12,New York
117.49,207.21,87.67,30.85,5.42,238,2012-02-13,New York
26.82,20.45,11.67,24.52,3.19,184,2012-02-14,New York
38.97,234.6,18.56,34.47,5.65,97,2012-02-15,New York
166.02,49.8,39.44,5.02,7.44,424,2012-02-16,New York
148.22,171.7,95.73,24.63,0.4,442,2012-02-17,New York
147.51,181.85,39.0,19.67,6.85,388,2012-02-18,New York
123.71,165.87,22.43,18.24,9.84,412,2012-02-19,New York
195.14,175.04,93.26,9.34,5.06,116,2012-02-20,New York
149.03,102.1,55.59,46.19,0.97,236,2012-02-21,New York
198.29,267.79,63.99,15.36,6.56,328,2012-02-22,New York
60.12,271.15,74.12,5.81,8.27,273,2012-02-23,New York
130.19,183.89,96.62,32.89,5.92,140,2012-02-24,New York
162.63,49.92,31.8,3.73,1.27,137,2012-02-25,New York
88.06,154.46,55.95,35.02,3.24,12,2012-02-26,New York
135.24,76.22,14.06,39.08,2.98,239,2012-02-27,New York
184.58,34.31,28.71,16.34,1.47,36,2012-02-28,New York
27.85,76.73,39.56,31.38,9.63,251,2012-02-29,New York
50.43,198.1,20.34,23.56,3.71,443,2012-03-01,New York
49.29,57.3,24.97,43.61,3.73,103,2012-03-02,New York
102.68,49.64,44.3,2.52,4.78,81,2012-03-03,New York
52.79,219.89,27.13,34.51,1.11,234,2012-03-04,New York
71.41,289.99,49.21,24.69,8.18,441,2012-03-05,New York
50.77,150.16,81.29,48.17,4.33,384,2012-03-06,New York
198.38,56.24,51.82,21.24,2.93,371,2012-03-07,New York
73.9,285.68,63.87,26.65,3.48,272,2012-03-08,New York
71.1,78.36,35.33,11.36,1.05,316,2012-03-09,New York
127.96,44.72,21.52,5.45,1.09,193,2012-03-10,New York
175.83,253.72,9.25,4.99,9.54,438,2012-03-11,New York
54.33,125.84,24.07,32.31,3.91,436,2012-03-12,New York
100.29,56.76,79.46,44.5,7.9,210,2012-03-13,New York
27.49,81.35,72.36,29.15,4.41,488,2012-03-14,New York
113.48,182.79,94.06,2.2,5.73,31,2012-03-15,New York
188.23,137.24,6.83,24.95,4.31,468,2012-03-16,New York
17.02,69.63,91.12,16.32,9.3,496,2012-03-17,New York
47.14,96.99,37.79,41.74,2.66,146,2012-03-18,New York
199.8,226.66,43.07,30.73,2.95,251,2012-03-19,New York
86.4,193.49,20.9,13.57,9.59,314,2012-03-20,New York
11.65,271.92,95.32,30.21,3.48,377,2012-03-21,New York
53.81,111.58,82.63,7.78,8.85,370,2012-03-22,New York
57.77,233.26,65.83,8.83,1.11,200,2012-03-23,New York
182.53,202.96,59.35,16.28,2.65,80,2012-03-24,New York
67.66,21.6,6.88,33.16,3.12,350,2012-03-25,New York
70.67,241.14,35.77,27.86,8.58,63,2012-03-26,New York
199.42,177.52,31.08,8.52,8.2,399,2012-03-27,New York
198.82,25.85,26.48,25.84,7.88,47,2012-03-28,New York
124.85,163.2,39.48,40.37,5.67,199,2012-03-29,New York
174.16,47.22,14.62,22.84,0.72,204,2012-03-30,New York
24.22,178.9,5.16,33.8,8.1,427,2012-03-31,New York
163.34,244.65,30.34,27.52,8.49,273,2012-04-01,New York
138.19,287.48,30.63,17.37,3.02,122,2012-04-02,New York
122.35,178.32,20.87,11.24,9.13,348,2012-04-03,New York
173.51,42.9,89.99,10.34,8.72,52,2012-04-04,New York
192.64,178.03,85.11,7.53,2.17,64,2012-04-05,New York
97.57,250.23,65.25,6.8,9.71,253,2012-04-06,New York
58.01,153.2,54.62,36.84,0.88,334,2012-04-07,New York
147.8,55.79,55.72,47.35,7.18,146,2012-04-08,New York
108.68,168.1,97.73,9.54,4.09,452,2012-04-09,New York
146.63,299.48,53.52,23.16,6.55,272,2012-04-10,New York
137.82,279.0,98.91,19.43,5.37,421,2012-04-11,New York
130.25,130.89,52.25,30.3,0.85,75,2012-04-12,New York
143.02,72.91,25.53,38.49,5.74,248,2012-04-13,New York
132.28,97.49,17.02,10.43,3.72,191,2012-04-14,New York
104.8,124.47,6.42,19.76,8.29,202,2012-04-15,New York
141.2,213.3,86.91,2.75,1.69,91,2012-04-16,New York
176.09,171.9,52.4,46.73,5.09,60,2012-04-17,New York
82.72,299.87,48.08,27.18,4.57,400,2012-04-18,New York
33.23,257.32,78.54,9.56,2.02,229,2012-04-19,New York
131.33,294.83,61.51,47.26,9.59,196,2012-04-20,New York
133.95,75.03,79.34,34.23,2.02,422,2012-04-21,New York
25.32,194.89,73.25,41.4,1.86,476,2012-04-22,New York
22.74,55.8,97.87,2.01,2.76,203,2012-04-23,New York
46.9,39.81,88.56,3.09,9.13,228,2012-04-24,New York
85.07,150.16,6.99,22.3,5.8,236,2012-04-25,New York
188.34,234.09,41.91,8.48,4.68,238,2012-04-26,New York
51.99,98.75,20.31,43.13,2.78,347,2012-04-27,New York
163.07,205.79,76.05,49.32,5.47,24,2012-04-28,New York
176.01,77.52,47.66,44.04,6.34,124,2012-04-29,New York
33.97,289.76,85.18,48.89,2.09,382,2012-04-30,New York
181.71,171.63,49.34,10.0,2.24,296,2012-05-01,New York
161.23,51.4,77.09,22.4,5.08,414,2012-05-02,New York
131.97,281.59,36.49,2.4,1.01,403,2012-05-03,New York
106.56,246.41,49.85,11.73,1.58,332,2012-05-04,New York
27.5,55.28,8.24,13.32,6.64,143,2012-05-05,New York
13.95,217.09,25.11,12.08,5.4,142,2012-05-06,New York
90.89,45.92,45.92,19.86,0.17,215,2012-05-07,New York
33.11,211.67,38.51,32.81,1.42,279,2012-05-08,New York
149.3,37.29,57.89,48.51,3.61,133,2012-05-09,New York
41.42,249.63,36.49,12.27,3.87,290,2012-05-10,New York
120.87,22.91,48.95,41.94,2.65,306,2012-05-11,New York
190.63,20.67,54.57,26.68,3.45,259,2012-05-12,New York
54.57,216.35,94.7,9.08,0.76,50,2012-05-13,New York
14.63,284.88,53.27,36.23,0.52,369,2012-05-14,New York
35.18,120.16,43.39,41.74,7.8,7,2012-05-15,New York
90.47,49.76,48.09,16.7,5.27,262,2012-05-16,New York
161.95,129.04,25.99,40.25,0.31,398,2012-05-17,New York
43.26,106.61,74.2,26.81,3.76,18,2012-05-18,New York
108.17,132.85,5.19,43.02,7.53,302,2012-05-19,New York
180.81,67.04,87.6,21.87,8.45,280,2012-05-20,New York
128.36,220.92,83.2,40.29,9.89,141,2012-05-21,New York
41.96,143.65,64.97,7.69,5.65,358,2012-05-22,New York
157.75,284.25,94.46,44.59,6.34,374,2012-05-23,New York
183.07,139.0,53.92,29.22,2.92,38,2012-05-24,New York
15.82,131.18,89.77,39.71,6.8,164,2012-05-25,New York
140.63,127.31,78.08,13.78,8.73,165,2012-05-26,New York
181.89,157.82,98.52,30.09,5.84,56,2012-05-27,New York
129.99,160.39,74.92,48.91,4.27,203,2012-05-28,New York
168.77,260.12,54.93,36.22,6.86,198,2012-05-29,New York
167.47,52.04,12.62,42.24,5.85,95,2012-05-30,New York
118.5,196.75,49.54,18.36,0.73,147,2012-05-31,New York
32.01,221.46,93.67,29.57,3.59,42,2012-06-01,New York
76.92,220.04,8.55,22.58,0.74,461,2012-06-02,New York
80.14,172.48,59.64,48.24,2.59,124,2012-06-03,New York
72.6,150.18,66.7,16.94,6.7,403,2012-06-04,New York
199.31,52.23,18.24,34.83,2.75,383,2012-06-05,New York
182.65,56.81,84.23,9.9,0.28,313,2012-06-06,New York
106.16,265.66,16.22,22.82,9.49,120,2012-06-07,New York
180.59,267.01,65.42,16.06,3.23,444,2012-06-08,New York
36.41,281.65,69.55,2.46,1.84,217,2012-06-09,New York
54.09,189.77,49.14,7.76,0.14,59,2012-06-10,New York
120.42,89.1,73.72,19.05,9.34,33,2012-06-11,New York
78.11,101.54,30.36,18.43,6.3,10,2012-06-12,New York
192.19,151.43,99.23,25.25,6.4,94,2012-06-13,New York
42.11,75.4,30.67,13.49,4.4,215,2012-06-14,New York
143.39,22.83,21.3,35.09,5.26,216,2012-06-15,New York
95.3,206.39,63.3,36.66,6.66,366,2012-06-16,New York
159.83,212.23,59.13,2.77,9.72,144,2012-06-17,New York
187.92,82.34,50.19,33.1,1.44,289,2012-06-18,New York
121.22,120.21,31.93,10.46,1.98,27,2012-06-19,New York
199.6,80.46,55.03,36.26,4.82,268,2012-06-20,New York
117.92,66.78,97.54,46.62,2.99,270,2012-06-21,New York
165.37,142.19,25.82,22.04,2.27,304,2012-06-22,New York
152.22,39.39,6.03,4.81,9.0,20,2012-06-23,New York
64.95,25.67,28.92,21.05,6.13,3,2012-06-24,New York
142.3,157.29,19.82,27.13,4.49,495,2012-06-25,New York
116.71,102.46,38.89,11.67,3.26,38,2012-06-26,New York
116.77,294.81,46.74,29.0,8.51,486,2012-06-27,New York
92.02,78.25,35.21,6.84,6.86,16,2012-06-28,New York
182.99,147.3,25.93,16.95,7.23,361,2012-06-29,New York
126.56,135.55,45.06,31.05,8.46,287,2012-06-30,New York
170.14,66.36,60.87,37.35,1.78,90,2012-07-01,New York
124.34,242.85,91.96,4.24,2.73,123,2012-07-02,New York
95.3,73.69,88.65,8.56,7.24,495,2012-07-03,New York
137.85,287.06,49.34,43.45,8.63,499,2012-07-04,New York
31.75,165.56,50.66,28.54,5.58,452,2012-07-05,New York
53.73,128.87,45.05,43.36,2.76,429,2012-07-06,New York
134.92,135.85,82.51,7.81,7.3,52,2012-07-07,New York
186.94,219.8,48.35,12.32,5.39,92,2012-07-08,New York
48.41,195.76,57.63,8.71,6.45,430,2012-07-09,New York
148.81,210.49,31.24,22.04,3.28,69,2012-07-10,New York
178.09,49.67,71.51,19.38,9.94,332,2012-07-11,New York
118.59,262.33,68.63,39.15,8.44,374,2012-07-12,New York
69.1,208.79,21.92,19.51,7.4,455,2012-07-13,New York
80.37,263.81,61.99,31.5,6.6,388,2012-07-14,New York
10.32,238.83,97.82,17.07,9.97,111,2012-07-15,New York
29.22,263.01,95.61,18.05,9.83,165,2012-07-16,New York
171.98,271.67,87.49,27.07,9.09,348,2012-07-17,New York
